,Viscosity,Angular velocity, Speed,Torque,Shear Stress,Shear Rate,Temperature
401,0.03634893749536452,18.84955592153876,180.0,0.535,7.686256365701087,105.72876259012104,22.1
418,0.03607716973838983,20.943951023931955,200.0,0.59,8.476432253763816,117.47640287791226,22.1
419,0.03613831748370913,20.943951023931955,200.0,0.591,8.49079908809223,117.47640287791226,22.1
10,0.03872690536889303,1.2566370614359172,12.0,0.038,0.5459397044797034,7.048584172674736,22.4
11,0.03872690536889303,1.2566370614359172,12.0,0.038,0.5459397044797034,7.048584172674736,22.4
28,0.038846802908734816,1.7802358370342162,17.0,0.054000000000000006,0.7758090537343154,9.985494244622542,22.4
29,0.03956618814778546,1.7802358370342162,17.0,0.055,0.7901758880627286,9.985494244622542,22.4
30,0.03956618814778546,1.7802358370342162,17.0,0.055,0.7901758880627286,9.985494244622542,22.4
31,0.03956618814778546,1.7802358370342162,17.0,0.055,0.7901758880627286,9.985494244622542,22.4
32,0.03956618814778546,1.7802358370342162,17.0,0.055,0.7901758880627286,9.985494244622542,22.4
33,0.038846802908734816,1.7802358370342162,17.0,0.054000000000000006,0.7758090537343154,9.985494244622542,22.4
50,0.040023978754454057,2.3038346126325147,22.0,0.07200000000000001,1.0344120716457539,12.922404316570347,22.4
51,0.03946809016064219,2.3038346126325147,22.0,0.071,1.0200452373173405,12.922404316570347,22.4
52,0.03946809016064219,2.3038346126325147,22.0,0.071,1.0200452373173405,12.922404316570347,22.4
53,0.03946809016064219,2.3038346126325147,22.0,0.071,1.0200452373173405,12.922404316570347,22.4
54,0.03946809016064219,2.3038346126325147,22.0,0.071,1.0200452373173405,12.922404316570347,22.4
55,0.040023978754454057,2.3038346126325147,22.0,0.07200000000000001,1.0344120716457539,12.922404316570347,22.4
72,0.03913455700435508,3.1415926535897927,30.0,0.096,1.3792160955276718,17.621460431686835,22.4
73,0.039542208639817104,3.1415926535897927,30.0,0.09699999999999999,1.393582929856085,17.621460431686835,22.4
74,0.039542208639817104,3.1415926535897927,30.0,0.09699999999999999,1.393582929856085,17.621460431686835,22.4
75,0.03913455700435508,3.1415926535897927,30.0,0.096,1.3792160955276718,17.621460431686835,22.4
76,0.03913455700435508,3.1415926535897927,30.0,0.096,1.3792160955276718,17.621460431686835,22.4
93,0.03944029573095159,4.1887902047863905,40.0,0.129,1.853321628365309,23.495280575582452,22.4
94,0.039134557004355065,4.1887902047863905,40.0,0.128,1.8389547940368955,23.495280575582452,22.4
95,0.03974603445754812,4.1887902047863905,40.0,0.13,1.8676884626937222,23.495280575582452,22.4
96,0.03944029573095159,4.1887902047863905,40.0,0.129,1.853321628365309,23.495280575582452,22.4
97,0.039134557004355065,4.1887902047863905,40.0,0.128,1.8389547940368955,23.495280575582452,22.4
114,0.03888996602307784,5.235987755982989,50.0,0.159,2.284326658217706,29.369100719478066,22.4
115,0.03937914798563229,5.235987755982989,50.0,0.161,2.313060326874533,29.369100719478066,22.4
116,0.03888996602307784,5.235987755982989,50.0,0.159,2.284326658217706,29.369100719478066,22.4
117,0.03937914798563229,5.235987755982989,50.0,0.161,2.313060326874533,29.369100719478066,22.4
118,0.03888996602307784,5.235987755982989,50.0,0.159,2.284326658217706,29.369100719478066,22.4
119,0.039134557004355065,5.235987755982989,50.0,0.16,2.2986934925461195,29.369100719478066,22.3
136,0.03893073118662406,6.283185307179585,60.0,0.191,2.74406535672693,35.24292086337367,22.3
137,0.038319253733431015,6.283185307179585,60.0,0.188,2.7009648537416906,35.24292086337367,22.3
